index,postal_code,lat,lng,walkscore,da_id
3102,S7M 4H5,52.123500,-106.726500,47110436,39
3103,S7M 4H6,52.123500,-106.728000,47110436,45
3104,S7M 4H7,52.123500,-106.728000,47110436,45
3105,S7M 4H7,52.122000,-106.728000,47110436,37
3106,S7M 4H1,52.125000,-106.728000,47110441,46
3107,S7M 4H2,52.123500,-106.728000,47110436,45
3108,S7M 4H2,52.123500,-106.726500,47110436,39
3109,S7M 4H3,52.123500,-106.726500,47110436,39
3110,S7L 0M8,52.137000,-106.678500,47110413,65
3111,S7V 0C2,52.092000,-106.561500,47110524,12
3112,S7V 0C2,52.092000,-106.560000,47110524,17
3113,S7V 0C2,52.092000,-106.563000,47110524,26
3114,S7V 0C2,52.090500,-106.561500,47110524,19
3115,S7V 0C3,52.102500,-106.561500,47110524,42
3116,S7V 0C1,52.092000,-106.560000,47110524,17
3117,S7V 0C1,52.090500,-106.561500,47110524,19
3118,S7V 0C6,52.093500,-106.567500,47110524,38
3119,S7V 0C7,52.098000,-106.552500,47110524,11
3120,S7V 0C7,52.099500,-106.555500,47110524,26
3121,S7V 0C7,52.098000,-106.555500,47110524,19
3122,S7V 0C4,52.092000,-106.569000,47110524,35
3123,S7V 0C4,52.090500,-106.570500,47110524,38
3124,S7V 0C4,52.090500,-106.569000,47110524,35
3125,S7V 0C4,52.092000,-106.570500,47110524,41
3126,S7V 0C5,52.092000,-106.570500,47110524,41
3127,S7V 0C8,52.098000,-106.557000,47110524,23
3128,S7V 0C8,52.099500,-106.555500,47110524,26
3129,S7V 0C8,52.098000,-106.555500,47110524,19
3130,S7V 0C9,52.098000,-106.557000,47110524,23
3131,S7V 0C9,52.098000,-106.554000,47110524,19
3132,S7V 0C9,52.096500,-106.555500,47110524,19
3133,S7N 5A1,52.132500,-106.633500,47110106,58
3134,S7N 5A3,52.131000,-106.636500,47110106,64
3135,S7N 5A2,52.129500,-106.633500,47110106,66
3136,S7N 5A5,52.131000,-106.638000,47110106,64
3137,S7N 5A4,52.131000,-106.636500,47110106,64
3138,S7N 5A7,52.132500,-106.639500,47110106,62
3139,S7N 5A6,52.132500,-106.639500,47110106,62
3140,S7N 5A9,52.134000,-106.627500,47110106,39
3141,S7N 5A8,52.132500,-106.630500,47110106,50
3142,S7K 3C1,52.147500,-106.645500,47110050,53
3143,S7K 3C2,52.147500,-106.645500,47110050,53
3144,S7K 3C3,52.150500,-106.645500,47110048,44
3145,S7K 3C4,52.150500,-106.645500,47110048,44
3146,S7K 3C5,52.153500,-106.642500,47110047,29
3147,S7K 3C5,52.152000,-106.644000,47110048,37
3148,S7K 3C6,52.155000,-106.642500,47110048,31
3149,S7K 3C6,52.153500,-106.642500,47110047,29
3150,S7K 3C7,52.155000,-106.642500,47110048,31
3151,S7K 3C7,52.153500,-106.642500,47110047,29
3152,S7K 3C7,52.156500,-106.642500,47110047,29
3153,S7K 3C8,52.156500,-106.642500,47110047,29
3154,S7K 3C9,52.146000,-106.644000,47110050,52
3155,S7L 3Z8,52.141500,-106.716000,47110369,43
3156,S7L 3Z8,52.143000,-106.716000,47110369,40
3157,S7W 0N5,52.165500,-106.573500,47110654,12
3158,S7W 0N6,52.171500,-106.567500,47110664,14
3159,S7W 0N6,52.171500,-106.569000,47110664,14
3160,S7W 0N7,52.173000,-106.567500,47110664,14
3161,S7W 0N7,52.171500,-106.569000,47110664,14
3162,S7H 4T1,52.116000,-106.582500,47110123,40
3163,S7H 4T1,52.116000,-106.579500,47110469,38
3164,S7W 0N1,52.171500,-106.572000,47110664,14
3165,S7W 0N1,52.173000,-106.570500,47110664,0
3166,S7W 0N1,52.173000,-106.573500,47110664,10
3167,S7W 0N1,52.171500,-106.573500,47110664,13
3168,S7W 0N2,52.171500,-106.572000,47110664,14
3169,S7W 0N2,52.171500,-106.570500,47110664,13
3170,S7W 0N3,52.173000,-106.570500,47110664,0
3171,S7W 0N3,52.171500,-106.570500,47110664,13
3172,S7L 3Z1,52.143000,-106.722000,47110370,58
3173,S7L 3Z2,52.141500,-106.723500,47110370,58
3174,S7L 3Z3,52.141500,-106.723500,47110370,58
3175,S7L 3Z4,52.138500,-106.723500,47110367,60
3176,S7L 3Z5,52.138500,-106.723500,47110367,60
